,train_loss,train_acc,train_sen,train_spe,train_f1,train_cm,val_loss,val_acc,val_sen,val_spe,val_f1,val_cm,epoch_time
0,0.6608890891075134,0.5892504930966469,0.5482758620689655,0.6056629834254144,0.4329475833900613,"[[877 571]
 [262 318]]",0.655005931854248,0.6272401433691757,0.6153846153846154,0.6284584980237155,0.23529411764705882,"[[159  94]
 [ 10  16]]",13.578699111938477
1,0.641427755355835,0.5414201183431953,0.7521367521367521,0.455994455994456,0.4861878453038674,"[[658 785]
 [145 440]]",0.7161288261413574,0.4767025089605735,0.7307692307692307,0.4505928853754941,0.20652173913043478,"[[114 139]
 [  7  19]]",13.481523036956787
2,0.6323391795158386,0.5779092702169625,0.7125645438898451,0.5238424326192122,0.4916864608076009,"[[758 689]
 [167 414]]",0.6786887049674988,0.5161290322580645,0.7307692307692307,0.49407114624505927,0.21965317919075145,"[[125 128]
 [  7  19]]",13.54867959022522
3,0.6238266229629517,0.5862919132149902,0.6532399299474606,0.5600549073438572,0.47066246056782335,"[[816 641]
 [198 373]]",0.6495154500007629,0.5734767025089605,0.6153846153846154,0.5691699604743083,0.2119205298013245,"[[144 109]
 [ 10  16]]",13.47013783454895
4,0.6239092946052551,0.591715976331361,0.627177700348432,0.5777166437414031,0.46511627906976744,"[[840 614]
 [214 360]]",0.6319736838340759,0.6129032258064516,0.6153846153846154,0.6126482213438735,0.22857142857142856,"[[155  98]
 [ 10  16]]",13.463918209075928
5,0.6136389374732971,0.6173570019723866,0.6593806921675774,0.6017579445571332,0.4826666666666667,"[[890 589]
 [187 362]]",0.6367565989494324,0.6164874551971327,0.6153846153846154,0.616600790513834,0.2302158273381295,"[[156  97]
 [ 10  16]]",13.55271315574646
6,0.6072981953620911,0.5710059171597633,0.7010309278350515,0.5186721991701245,0.48398576512455516,"[[750 696]
 [174 408]]",0.6613372564315796,0.5627240143369175,0.6538461538461539,0.5533596837944664,0.21794871794871795,"[[140 113]
 [  9  17]]",13.489885807037354
7,0.6023834347724915,0.5631163708086785,0.7319587628865979,0.4951590594744122,0.4902186421173763,"[[716 730]
 [156 426]]",0.6848987936973572,0.5448028673835126,0.7307692307692307,0.525691699604743,0.23030303030303031,"[[133 120]
 [  7  19]]",13.210713863372803
8,0.6034432649612427,0.5828402366863905,0.7739130434782608,0.5072264280798349,0.5126728110599078,"[[737 716]
 [130 445]]",0.6786490082740784,0.5412186379928315,0.7307692307692307,0.5217391304347826,0.2289156626506024,"[[132 121]
 [  7  19]]",13.617321968078613
9,0.5908820033073425,0.626232741617357,0.7046263345195729,0.5961800818553888,0.5109677419354839,"[[874 592]
 [166 396]]",0.611122727394104,0.6379928315412187,0.6538461538461539,0.6363636363636364,0.2518518518518518,"[[161  92]
 [  9  17]]",13.39520812034607
10,0.588207483291626,0.6247534516765286,0.7355072463768116,0.5833333333333334,0.5162110616656072,"[[861 615]
 [146 406]]",0.6089758276939392,0.6487455197132617,0.6538461538461539,0.6482213438735178,0.25757575757575757,"[[164  89]
 [  9  17]]",13.409147500991821
11,0.5884179472923279,0.6094674556213018,0.7110332749562172,0.5696636925188744,0.5062344139650873,"[[830 627]
 [165 406]]",0.6143444776535034,0.6308243727598566,0.6538461538461539,0.6284584980237155,0.24817518248175183,"[[159  94]
 [  9  17]]",13.557647466659546
12,0.5820387601852417,0.5779092702169625,0.819614711033275,0.48318462594371997,0.5223214285714286,"[[704 753]
 [103 468]]",0.6766654253005981,0.5555555555555556,0.7307692307692307,0.5375494071146245,0.2345679012345679,"[[136 117]
 [  7  19]]",13.40418529510498
13,0.5834826827049255,0.6010848126232742,0.7275985663082437,0.5530612244897959,0.5009253547193091,"[[813 657]
 [152 406]]",0.611522912979126,0.6344086021505376,0.6923076923076923,0.6284584980237155,0.2608695652173913,"[[159  94]
 [  8  18]]",13.719406843185425
14,0.568779706954956,0.6020710059171598,0.7789661319073083,0.534423994546694,0.5199286139202856,"[[784 683]
 [124 437]]",0.6195656657218933,0.6272401433691757,0.6923076923076923,0.6205533596837944,0.2571428571428571,"[[157  96]
 [  8  18]]",13.767162084579468
