,train_loss,train_acc,train_sen,train_spe,train_f1,train_cm,val_loss,val_acc,val_sen,val_spe,val_f1,val_cm,epoch_time
1,0.645878255367279,0.5577492596248766,0.6603119584055459,0.5169082125603864,0.45958986731001206,"[[749 700]
 [196 381]]",0.666061282157898,0.5698924731182796,0.64,0.562992125984252,0.21052631578947367,"[[143 111]
 [  9  16]]",13.625284910202026
2,0.6325405836105347,0.5266535044422508,0.7598566308243727,0.4380108991825613,0.46928610957387934,"[[643 825]
 [134 424]]",0.6930174231529236,0.5268817204301075,0.72,0.5078740157480315,0.21428571428571427,"[[129 125]
 [  7  18]]",12.957561492919922
3,0.6257684826850891,0.5533070088845015,0.6893382352941176,0.5033738191632928,0.45317220543806647,"[[746 736]
 [169 375]]",0.6539904475212097,0.5985663082437276,0.72,0.5866141732283464,0.24324324324324326,"[[149 105]
 [  7  18]]",13.458904027938843
4,0.6219192147254944,0.5646594274432379,0.7708333333333334,0.4827586206896552,0.5016949152542373,"[[700 750]
 [132 444]]",0.6679741144180298,0.6021505376344086,0.76,0.5866141732283464,0.2550335570469799,"[[149 105]
 [  6  19]]",13.330699682235718
5,0.6141085624694824,0.6224086870681145,0.572202166064982,0.6413043478260869,0.453180843459614,"[[944 528]
 [237 317]]",0.5550434589385986,0.7419354838709677,0.48,0.7677165354330708,0.25,"[[195  59]
 [ 13  12]]",13.460514783859253
6,0.6061986088752747,0.571076011846002,0.6833631484794276,0.5282890252215405,0.46785058175137784,"[[775 692]
 [177 382]]",0.6118850111961365,0.6666666666666666,0.64,0.6692913385826772,0.256,"[[170  84]
 [  9  16]]",13.292076826095581
7,0.607658326625824,0.5809476801579467,0.7157712305025996,0.5272601794340924,0.493134328358209,"[[764 685]
 [164 413]]",0.6140688061714172,0.6666666666666666,0.68,0.6653543307086615,0.2677165354330709,"[[169  85]
 [  8  17]]",12.9922513961792
8,0.5908887982368469,0.573050345508391,0.8155515370705244,0.4820095044127631,0.5104697226938314,"[[710 763]
 [102 451]]",0.6540682315826416,0.5878136200716846,0.8,0.5669291338582677,0.25806451612903225,"[[144 110]
 [  5  20]]",13.251673460006714
9,0.5922695994377136,0.5735439289239882,0.7630161579892281,0.5017018379850239,0.4959159859976663,"[[737 732]
 [132 425]]",0.6344859600067139,0.6236559139784946,0.76,0.610236220472441,0.26573426573426573,"[[155  99]
 [  6  19]]",13.050723552703857
10,0.5912618637084961,0.6071076011846002,0.7194899817850637,0.5653351387948544,0.49810844892812106,"[[835 642]
 [154 395]]",0.592544436454773,0.6881720430107527,0.72,0.6850393700787402,0.2926829268292683,"[[174  80]
 [  7  18]]",12.98926854133606
11,0.5810666680335999,0.6051332675222113,0.7408695652173913,0.5513439007580979,0.5157384987893463,"[[800 651]
 [149 426]]",0.5856584906578064,0.6989247311827957,0.64,0.7047244094488189,0.27586206896551724,"[[179  75]
 [  9  16]]",13.267080068588257
12,0.5846790075302124,0.587857847976308,0.7408056042031523,0.5278350515463918,0.5032718619869125,"[[768 687]
 [148 423]]",0.613167405128479,0.6559139784946236,0.72,0.6496062992125984,0.2727272727272727,"[[165  89]
 [  7  18]]",13.458969593048096
13,0.5725703239440918,0.6145113524185587,0.7073170731707317,0.5778236914600551,0.5097300690521029,"[[839 613]
 [168 406]]",0.565990686416626,0.7168458781362007,0.6,0.7283464566929134,0.27522935779816515,"[[185  69]
 [ 10  15]]",13.358500957489014
14,0.579039990901947,0.5863770977295163,0.75,0.520746887966805,0.509367681498829,"[[753 693]
 [145 435]]",0.6049566268920898,0.6774193548387096,0.72,0.6732283464566929,0.2857142857142857,"[[171  83]
 [  7  18]]",13.572966575622559
15,0.5784329175949097,0.6229022704837117,0.6409807355516638,0.6158075601374571,0.4893048128342246,"[[896 559]
 [205 366]]",0.5278966426849365,0.7562724014336918,0.48,0.7834645669291339,0.2608695652173913,"[[199  55]
 [ 13  12]]",13.21299934387207
16,0.5661786198616028,0.6179664363277394,0.7258064516129032,0.5769754768392371,0.5113636363636364,"[[847 621]
 [153 405]]",0.5510286688804626,0.7491039426523297,0.56,0.7677165354330708,0.2857142857142857,"[[195  59]
 [ 11  14]]",13.093640804290771
17,0.5643181204795837,0.6258637709772952,0.7260034904013961,0.5863730213351687,0.5232704402515723,"[[852 601]
 [157 416]]",0.5571179389953613,0.7311827956989247,0.6,0.7440944881889764,0.2857142857142857,"[[189  65]
 [ 10  15]]",13.659387588500977
18,0.5656978487968445,0.6312931885488647,0.7316239316239316,0.5905621096460791,0.5339987523393637,"[[851 590]
 [157 428]]",0.5599513053894043,0.7455197132616488,0.64,0.7559055118110236,0.3106796116504854,"[[192  62]
 [  9  16]]",13.49348258972168
19,0.5627590417861938,0.5937808489634748,0.7809187279151943,0.5212328767123288,0.517867603983597,"[[761 699]
 [124 442]]",0.5922439098358154,0.6810035842293907,0.68,0.6811023622047244,0.2764227642276423,"[[173  81]
 [  8  17]]",13.389228582382202
20,0.5593245029449463,0.5982230997038499,0.7758620689655172,0.5269709543568465,0.5250875145857643,"[[762 684]
 [130 450]]",0.5784521698951721,0.6989247311827957,0.64,0.7047244094488189,0.27586206896551724,"[[179  75]
 [  9  16]]",13.466922998428345
21,0.5564471483230591,0.6041461006910168,0.7761989342806395,0.5379357484620643,0.5214797136038186,"[[787 676]
 [126 437]]",0.5748121738433838,0.7168458781362007,0.72,0.7165354330708661,0.3130434782608696,"[[182  72]
 [  7  18]]",13.200215101242065
22,0.560947060585022,0.5997038499506416,0.7887067395264117,0.5294515910629655,0.5163983303518187,"[[782 695]
 [116 433]]",0.5735991597175598,0.7132616487455197,0.64,0.7204724409448819,0.2857142857142857,"[[183  71]
 [  9  16]]",13.078094959259033
23,0.5579840540885925,0.5720631786771965,0.7835420393559929,0.49147920927062033,0.5025817555938038,"[[721 746]
 [121 438]]",0.5939691662788391,0.6810035842293907,0.68,0.6811023622047244,0.2764227642276423,"[[173  81]
 [  8  17]]",13.288787364959717
24,0.5473565459251404,0.6386969397828233,0.7874564459930313,0.5798898071625345,0.5525672371638142,"[[842 610]
 [122 452]]",0.5532034039497375,0.7240143369175627,0.64,0.7322834645669292,0.29357798165137616,"[[186  68]
 [  9  16]]",13.449922800064087
