,train_loss,train_acc,train_sen,train_spe,train_f1,train_cm,val_loss,val_acc,val_sen,val_spe,val_f1,val_cm,epoch_time
0,0.6677055954933167,0.5320829220138203,0.656140350877193,0.4835164835164835,0.4410377358490566,"[[704 752]
 [196 374]]",0.6801683902740479,0.5340501792114696,0.72,0.515748031496063,0.21686746987951808,"[[131 123]
 [  7  18]]",13.082015991210938
1,0.6550953984260559,0.5424481737413623,0.6672443674176777,0.4927536231884058,0.45374189746611665,"[[714 735]
 [192 385]]",0.6767930388450623,0.5663082437275986,0.68,0.5551181102362205,0.21935483870967742,"[[141 113]
 [  8  17]]",13.48729133605957
2,0.6484668254852295,0.5069101678183613,0.7096774193548387,0.4298365122615804,0.44221105527638194,"[[631 837]
 [162 396]]",0.6949165463447571,0.5483870967741935,0.8,0.5236220472440944,0.24096385542168675,"[[133 121]
 [  5  20]]",12.968195915222168
3,0.6387130618095398,0.5276406712734452,0.6856617647058824,0.46963562753036436,0.4380504991192014,"[[696 786]
 [171 373]]",0.6736870408058167,0.5698924731182796,0.72,0.5551181102362205,0.23076923076923078,"[[141 113]
 [  7  18]]",13.567407608032227
4,0.6385564804077148,0.5745310957551826,0.6892361111111112,0.5289655172413793,0.47946859903381644,"[[767 683]
 [179 397]]",0.6635937094688416,0.5698924731182796,0.72,0.5551181102362205,0.23076923076923078,"[[141 113]
 [  7  18]]",13.520183086395264
5,0.6300328969955444,0.6164856860809477,0.5306859205776173,0.6487771739130435,0.4307692307692308,"[[955 517]
 [260 294]]",0.5507901906967163,0.7311827956989247,0.48,0.7559055118110236,0.24242424242424243,"[[192  62]
 [ 13  12]]",13.46930480003357
6,0.6279224753379822,0.5779861796643633,0.6207513416815742,0.5616905248807089,0.44803098773402195,"[[824 643]
 [212 347]]",0.61821448802948,0.6451612903225806,0.6,0.6496062992125984,0.23255813953488372,"[[165  89]
 [ 10  15]]",13.149793148040771
7,0.6220873594284058,0.5646594274432379,0.6915077989601387,0.5141476880607315,0.475,"[[745 704]
 [178 399]]",0.6422079205513,0.5949820788530465,0.64,0.5905511811023622,0.2206896551724138,"[[150 104]
 [  9  16]]",13.453106880187988
8,0.6085354685783386,0.5562685093780849,0.7305605786618445,0.4908350305498982,0.47334504979496195,"[[723 750]
 [149 404]]",0.6596826314926147,0.5806451612903226,0.72,0.5669291338582677,0.23529411764705882,"[[144 110]
 [  7  18]]",13.234835386276245
9,0.6113584637641907,0.581441263573544,0.7073608617594255,0.5336963921034718,0.48166259168704156,"[[784 685]
 [163 394]]",0.6426542401313782,0.6093189964157706,0.68,0.6023622047244095,0.23776223776223776,"[[153 101]
 [  8  17]]",13.3551664352417
10,0.5981801748275757,0.633761105626851,0.6612021857923497,0.6235612728503723,0.494550408719346,"[[921 556]
 [186 363]]",0.5799058675765991,0.7025089605734767,0.6,0.7125984251968503,0.26548672566371684,"[[181  73]
 [ 10  15]]",13.872179508209229
11,0.5953170657157898,0.6135241855873642,0.6521739130434783,0.5982081323225362,0.4892367906066536,"[[868 583]
 [200 375]]",0.5841811299324036,0.6845878136200717,0.52,0.7007874015748031,0.22807017543859648,"[[178  76]
 [ 12  13]]",13.922777652740479
12,0.5912586450576782,0.5952615992102666,0.6654991243432574,0.5676975945017182,0.4810126582278481,"[[826 629]
 [191 380]]",0.6009937524795532,0.6666666666666666,0.6,0.6732283464566929,0.24390243902439024,"[[171  83]
 [ 10  15]]",13.596296787261963
13,0.5832940340042114,0.6130306021717671,0.7003484320557491,0.5785123966942148,0.5062972292191436,"[[840 612]
 [172 402]]",0.5880723595619202,0.6953405017921147,0.56,0.7086614173228346,0.24778761061946902,"[[180  74]
 [ 11  14]]",13.37989354133606
14,0.5837429165840149,0.6120434353405726,0.7086206896551724,0.5733056708160442,0.5111940298507462,"[[829 617]
 [169 411]]",0.6085717082023621,0.6630824372759857,0.64,0.6653543307086615,0.25396825396825395,"[[169  85]
 [  9  16]]",13.57174563407898
15,0.5770977139472961,0.6391905231984205,0.647985989492119,0.6357388316151202,0.5030591434398368,"[[925 530]
 [201 370]]",0.5477954745292664,0.7598566308243727,0.52,0.7834645669291339,0.27956989247311825,"[[199  55]
 [ 12  13]]",13.388351202011108
16,0.5791501402854919,0.5967423494570583,0.7275985663082437,0.5470027247956403,0.49846531614487416,"[[803 665]
 [152 406]]",0.5977593064308167,0.6774193548387096,0.6,0.6850393700787402,0.25,"[[174  80]
 [ 10  15]]",13.449016332626343
